Award ID,Recipient,Amount,Competition Code,Description,Start Date
W56HZV22C0006,G D ARAB LIMITED COMPANY,45653614.00,C,CLS EFFORT SHALL PROVIDE MAINTENANCE TRAINING AND PROCEDURAL AND TECHNICAL ASSISTANCE FOR THE MAINTENANCE FOR ITS FLEET OF TANKS AND LIGHT ARMORED VEHICLES (LAVS.),2021-12-20
W56HZV17C0054,G D ARAB LIMITED COMPANY,43905014.50,B,IGF::OT::IGF,2017-04-28
