Award ID,Recipient,Amount,Competition Code,Description,Start Date
70FB7020F00000080,"PARKDALE ADVANCED MATERIALS, INC.",532157710.52,C,DELIVERY ORDER FOR 60 MILLION REUSABLE GOWNS IN SUPPORT OF THE NATIONAL EMERGENCY DECLARATION FOR COVID-19.,2020-04-23
70FB7020F00000083,"PARKDALE ADVANCED MATERIALS, INC.",11250000.00,C,"DELIVERY ORDER FOR 7,500,000 MILLION MASKS IN SUPPORT OF THE NATIONAL EMERGENCY DECLARATION FOR COVID-19.",2020-05-02
