Award ID,Recipient,Amount,NAICS Code,NAICS Description,Category Mean,Category Median,Category Std Dev,Z-Score
70FA3020F00000634,"BLUEPRINT CONSULTING SERVICES, LLC",6010000.86,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.054
70FA3018F00000701,INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,5999348.43,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.054
70FA3019F00000580,TRILLION TECHNOLOGY SOLUTIONS INC,5910846.68,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.048
70FA3020F00000144,TRILLION TECHNOLOGY SOLUTIONS INC,4520659.66,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.042
70FB7020F00000145,NEW LIGHT TECHNOLOGIES INC,5726250.85,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.036
70FA3018F00000240,NEW LIGHT TECHNOLOGIES INC,4657385.69,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.033
70FA3020F00000021,"ESTARS ENTERPRISE, LLC",4675320.79,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.032
70FA3020F00000216,INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,5497557.33,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.021
HSFE9013F0065,INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,5473815.18,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.020
70FA3020F00000574,"BLUEPRINT CONSULTING SERVICES, LLC",5447203.11,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.018
70FA3019F00000578,TRILLION TECHNOLOGY SOLUTIONS INC,5427373.39,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.017
70FA3019F00000547,"GALVAN AND ASSOCIATES, LLC",5393155.14,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.014
70FA3019F00000742,INTERNATIONAL BUSINESS MACHINES CORPORATION,5371307.46,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.013
70FA3021F00000061,INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,5314872.80,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.009
